(320, 128)
(323, 124)
(327, 123)
(331, 122)
(336, 122)
(343, 122)
(351, 121)
(360, 120)
(369, 120)
(374, 123)
(381, 125)
(382, 127)
(387, 131)
(390, 134)
(393, 136)
(394, 141)
(397, 143)
(398, 147)
(400, 151)
(401, 154)
(402, 161)
(402, 166)
(404, 173)
(404, 176)
(404, 180)
(404, 183)
(404, 187)
(406, 191)
(409, 198)
(410, 203)
(410, 208)
(410, 211)
(412, 215)
(411, 216)
(412, 214)
(412, 215)
(411, 219)
(409, 223)
(408, 225)
(406, 227)
(404, 231)
(403, 233)
(402, 236)
(402, 237)
(402, 239)
(403, 243)
(405, 247)
(408, 253)
(409, 256)
(410, 258)
(412, 263)
(414, 266)
(415, 270)
(417, 273)
(417, 274)
(418, 276)
(420, 279)
(422, 282)
(425, 285)
(426, 289)
(418, 275)
(419, 277)
(421, 280)
(422, 283)
(423, 284)
(425, 286)
(426, 289)
(428, 295)
(428, 294)
(431, 298)
(431, 301)
(431, 305)
(431, 308)
(428, 310)
(426, 313)
(422, 316)
(416, 316)
(414, 316)
(411, 316)
(410, 317)
(409, 318)
(409, 320)
(409, 324)
(409, 329)
(410, 334)
(409, 338)
(409, 341)
(410, 344)
(410, 346)
(408, 348)
(405, 350)
(403, 353)
(401, 354)
(399, 355)
(397, 355)
(397, 355)
(397, 357)
(399, 359)
(400, 362)
(401, 366)
(401, 367)
(400, 366)
(400, 370)
(394, 374)
(390, 377)
(388, 379)
(387, 382)
(387, 388)
(387, 392)
(387, 397)
(387, 396)
(388, 402)
(387, 407)
(385, 411)
(383, 417)
(380, 419)
(377, 423)
(371, 425)
(369, 427)
(366, 428)
(360, 431)
(354, 433)
(348, 433)
(343, 435)
(340, 435)
(333, 436)
(328, 437)
(323, 440)
(319, 441)
(315, 442)
(306, 447)
(304, 450)
(300, 453)
(296, 458)
(295, 455)
(287, 454)
(283, 454)
(277, 452)
(272, 450)
(263, 444)
(256, 439)
(250, 436)
(253, 438)
(247, 433)
(241, 425)
(238, 421)
(234, 419)
(227, 411)
(222, 406)
(217, 401)
(215, 399)
(211, 395)
(205, 391)
(196, 384)
(191, 378)
(184, 372)
(175, 364)
(171, 359)
(164, 352)
(159, 346)
(158, 344)
(158, 345)
(162, 333)
(164, 324)
(167, 310)
(168, 295)
(168, 284)
(172, 269)
(176, 258)
(178, 244)
(180, 236)
(180, 230)
(183, 228)
(184, 223)
(189, 214)
(191, 210)
(194, 208)
(199, 207)
(206, 205)
(209, 205)
(218, 205)
(222, 208)
(227, 208)
(231, 211)
(238, 215)
(244, 218)
(247, 223)
(248, 223)
(251, 225)
(253, 227)
(256, 230)
(259, 238)
(261, 246)
(261, 253)
(262, 259)
(262, 265)
(262, 277)
(262, 283)
(264, 285)
(265, 281)
(267, 272)
(271, 267)
(271, 262)
(273, 255)
(275, 246)
(277, 241)
(277, 237)
(279, 230)
(279, 227)
(280, 224)
(281, 226)
(284, 224)
(288, 223)
(291, 220)
(294, 214)
(294, 205)
(295, 200)
(298, 195)
(301, 190)
(301, 186)
(302, 185)
(302, 186)
(307, 185)
(316, 185)
(323, 184)
(329, 178)
(331, 178)
(334, 176)
(336, 173)
(334, 164)
(330, 158)
(329, 153)
(325, 147)
(323, 142)
(320, 138)
(320, 132)
(320, 131)
(320, 128)
(324, 124)
(326, 122)
(331, 122)
(336, 122)
(341, 121)
(343, 121)
