(701, 250)
(703, 248)
(704, 247)
(706, 243)
(709, 240)
(711, 236)
(715, 231)
(719, 230)
(724, 227)
(727, 227)
(731, 226)
(736, 226)
(740, 226)
(744, 228)
(748, 231)
(751, 235)
(754, 237)
(755, 241)
(757, 243)
(758, 247)
(760, 249)
(760, 251)
(760, 255)
(761, 257)
(762, 261)
(762, 266)
(762, 272)
(761, 277)
(759, 279)
(757, 283)
(756, 287)
(754, 291)
(753, 294)
(747, 297)
(747, 300)
(746, 303)
(742, 306)
(739, 309)
(740, 309)
(738, 310)
(736, 312)
(733, 315)
(729, 319)
(726, 321)
(723, 322)
(716, 325)
(712, 325)
(707, 325)
(706, 324)
(703, 321)
(701, 315)
(698, 313)
(697, 311)
(697, 309)
(697, 305)
(696, 302)
(696, 298)
(697, 293)
(697, 288)
(698, 282)
(699, 278)
(700, 273)
(701, 273)
(706, 273)
(708, 273)
(713, 273)
(710, 269)
(707, 267)
(708, 265)
(705, 264)
(703, 260)
(702, 257)
(702, 254)
(702, 251)
(702, 249)
(704, 248)
(705, 246)
(707, 243)
(709, 240)
(710, 237)
(715, 233)
